"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02294",6789.97204137412,7.15139113471497,0.1051593133648,68.005304579221,0,0
"AENJPLPP_02295",5878.10148820783,6.64520587381622,0.0994395432608214,66.8265928815302,0,0
"AENJPLPP_02296",11798.2602108855,6.42617868675493,0.0791326423146672,81.2076849551103,0,0
"AENJPLPP_02297",10194.451613379,6.41762860160493,0.0843310097839397,76.1004595823911,0,0
"AENJPLPP_02298",14150.1276540149,6.42373756031066,0.0796439537824533,80.6556838935576,0,0
"AENJPLPP_02299",3447.77916768057,1.16804014596252,0.0628361527383763,18.5886642491585,3.96940492136698e-77,1.9894848762514e-76
"AENJPLPP_02307",9785.12668030856,5.65630840462082,0.093547971793227,60.4642548223622,0,0
"AENJPLPP_02308",1016.15282508971,1.81898531172691,0.0871456605867535,20.8729304417414,9.43677874052869e-97,5.57401616479098e-96
"AENJPLPP_02309",427.337819588127,2.30171298216595,0.111180515733664,20.702485205949,3.28962020326876e-95,1.91205070497378e-94
"AENJPLPP_02310",92287.1690545098,3.87317109981468,0.0665683377623547,58.1833831218933,0,0
"AENJPLPP_02313",27.0313201899198,1.63064887138076,0.36372233235357,4.48322449938441,7.35235071243435e-06,1.18352931313482e-05
"AENJPLPP_02315",16.1545525833489,4.29221291966449,0.755595799781428,5.68056746862026,1.34248581635078e-08,2.38082746480723e-08
"AENJPLPP_02316",23.0897839385148,2.51734419802526,0.458198248149023,5.4940065969142,3.92915802624501e-08,6.86365217302068e-08
"AENJPLPP_02317",11.2523848197228,1.90132616128672,0.592130386322436,3.21099238479442,0.00132277440097382,0.00189340193832132
"AENJPLPP_02319",29.7307231447471,-1.36183186062549,0.372824467429908,-3.65274272370957,0.00025945415285788,0.000387054555902739
"AENJPLPP_02325",51.5834865021672,-3.62020871606167,0.372347201694508,-9.72266932472309,2.41369471089271e-22,5.89160016606839e-22
"AENJPLPP_02328",9685.64400721449,2.85286749227205,0.0817828507185887,34.8834439886259,1.32535280022433e-266,1.9997032923592e-265
"AENJPLPP_02339",58.6807867827581,-2.33941156605663,0.278804288637478,-8.39087367518404,4.82542615931227e-17,1.06290778940373e-16
"AENJPLPP_02340",1143.22224866386,-1.77969468483324,0.0813848648170475,-21.8676370457084,5.28231980462144e-106,3.29381483320292e-105
"AENJPLPP_02341",3114.85032858819,2.43876277604763,0.0858203304844911,28.4170750949083,1.24416783264297e-177,1.18013574223333e-176
"AENJPLPP_02344",87.5128735369974,1.62211705743797,0.230442111312524,7.03915203778907,1.93413239455961e-12,3.8132657636815e-12
"AENJPLPP_02349",785.446924126028,1.3569320519939,0.0860919662460678,15.7614248014213,5.73258641652439e-56,2.29935146624229e-55
"AENJPLPP_02350",779.262354774441,1.20527202664334,0.0841795668648809,14.3178691876373,1.6923288957044e-46,6.04670152673767e-46
"AENJPLPP_02354",6267.29177692148,2.46170305614978,0.0632235771220012,38.9364722498931,0,0
"AENJPLPP_02358",484.862960658427,2.81364963353541,0.118185241126133,23.8071150570532,2.81860046363775e-125,1.9970230048937e-124
"AENJPLPP_02362",364.151834801991,2.25254034568299,0.12071171333723,18.6604951864954,1.03765183366037e-77,5.2187256297392e-77
"AENJPLPP_02363",6797.69796077752,2.66306968252532,0.0629833064010301,42.2821511714374,0,0
"AENJPLPP_02364",496.95193196882,1.05064630188755,0.103581964833526,10.1431393348844,3.55488024450458e-24,8.96260716190244e-24
"AENJPLPP_02367",1377.72129472758,1.39619632322712,0.0744034613178368,18.7652065978873,1.45431089459527e-78,7.37796746526379e-78
"AENJPLPP_02368",1473.13781440745,1.36139008024738,0.0849494087173242,16.0258923611525,8.42723668830695e-58,3.46122894729899e-57
"AENJPLPP_02371",1713.35741757259,-1.36181289515064,0.0701861079006545,-19.4028837883165,7.29614608309532e-84,3.82817610702226e-83
"AENJPLPP_02374",409.934123393435,2.46571596729067,0.122694538474179,20.0963791702072,7.93781896167653e-90,4.35309393905877e-89
"AENJPLPP_02378",205.420662846313,-1.71423163416225,0.144297653950308,-11.8798302483323,1.50673027728855e-32,4.32702028349533e-32
"AENJPLPP_02392",212.076242552901,2.41500261758022,0.16046028793146,15.0504691765964,3.42794520010163e-51,1.30315619095247e-50
"AENJPLPP_02393",544.476571084399,1.19266683505476,0.0936955878662905,12.7291675330195,4.07157068593228e-37,1.25332070163159e-36
"AENJPLPP_02403",216.349197579589,2.29667291488567,0.15792330738804,14.5429636250109,6.47285177922159e-48,2.35317657691551e-47
"AENJPLPP_02406",9.9069849265568,-1.59093072009091,0.619621658213592,-2.56758410394766,0.0102409943061234,0.0137490896355147
"AENJPLPP_02412",2041.32560324397,-1.54806208643745,0.0680654854087625,-22.7437162482671,1.65596184153057e-114,1.10346930950504e-113
"AENJPLPP_02413",4552.12054248294,1.51167691898697,0.0665695286878802,22.7082412746928,3.71411531076014e-114,2.46366828813975e-113
"AENJPLPP_02414",8179.49458505294,1.51793537536706,0.072754791948272,20.863716804335,1.1442418400287e-96,6.7313782589163e-96
"AENJPLPP_02415",12612.8941249355,1.56896627200546,0.0652791896103397,24.0347081722496,1.20646471938288e-127,8.7611602564662e-127
"AENJPLPP_02423",8.50400175603488,-1.59662580468146,0.657079701197365,-2.42988149195905,0.0151037604526995,0.0200170067145461
"AENJPLPP_02426",43.1804976785845,-1.04205333130581,0.280954826677476,-3.7089710955635,0.00020810318011876,0.000312691672087631
"AENJPLPP_02429",5.40801439728654,-2.0439248008969,0.883985186685513,-2.31217087308958,0.020768268726678,0.0271929849514777
"AENJPLPP_02437",492.788845437456,1.13571793829188,0.109289124511401,10.3918660101757,2.70017918273297e-25,6.97067533698439e-25
"AENJPLPP_02440",310.312856745907,1.16707026495911,0.119378495593696,9.77621856562196,1.4243288096569e-22,3.49717157986585e-22
"AENJPLPP_02442",7.09581891880971,3.01732249222004,0.846242980733265,3.56555098348413,0.000363092565501447,0.000538353131741453
"AENJPLPP_02453",907.675230588496,-1.17152263574975,0.0897532233025035,-13.0527082219795,6.13279092179941e-39,1.94963833671178e-38
"AENJPLPP_02459",4727.78539558978,1.1290489606973,0.0560177989769179,20.1551824833839,2.42363484235201e-90,1.33920771554631e-89
